Timestamp,18_plus,consent,sex_gender,kinsey_scale,HRT,dimorphism,sexual_behavior,ESFQ_1,ESFQ_2,ESFQ_3,ESFQ_4,ESFQ_5,ESFQ_6,ESFQ_7,ESFQ_8,ESFQ_9,ESFQ_10,ESFQ_11,ESFQ_12,ESFQ_13,ESFQ_14,ESFQ_15,ESFQ_16,ESFQ_17,ESFQ_18,ESFQ_19,ESFQ_20,ESFQ_21,AGP_1,AGP_2,AGP_3,AGP_4,AGP_5,AGP_6,AGP_7,testimony
12/9/2023 20:31:55,Yes,I agree,Transgender Woman,4,No,3,None,1,1,2,1,1,3,2,5,5,2,1,1,4,7,1,1,5,4,5,1,5,4,1,1,2,3,3,3,"I have never explicitly fantasized about myself, but imagining nude bodies I would like to have helps me masturbate. I do not feel attracted to women as sexual partners; my only actual attraction to others is to men."
12/9/2023 20:37:49,Yes,I agree,Transgender Woman,2,Yes,4,"Cisgender Men, Cisgender Women",2,1,5,2,5,1,2,5,4,5,4,5,7,6,5,5,3,7,2,2,5,5,5,4,5,5,5,5,"When I perceive my body as female I can fully enjoy sexual activities, whereas when I don't it creates a barrier/distance between myself and whatever my body is doing or feeling. "
12/9/2023 21:05:49,Yes,I agree,Transgender Woman,2,Yes,5,"Cisgender Men, Cisgender Women, Transgender Women, Non-Binary (Assigned Male at Birth)",1,1,2,1,2,2,1,1,1,4,1,5,2,7,6,2,3,5,1,7,6,5,5,4,5,5,4,2,
12/9/2023 23:35:54,Yes,I agree,Transgender Woman,2,Yes,6,Non-Binary (Assigned Female at Birth),3,3,6,5,6,6,6,6,3,4,2,2,6,6,3,6,2,3,5,4,6,5,5,5,5,4,4,5,
12/9/2023 23:39:39,Yes,I agree,Transgender Woman,1,Yes,6,"Cisgender Men, Transgender Women",7,7,6,6,6,5,5,6,7,7,5,4,5,6,2,6,4,4,5,6,7,5,5,5,5,5,5,5,"I love to show off.  Exhibition is a really big thing that I enjoy.  It would be absolutely amazing to live in a way where not only I could be naked regularly, but naked around people that would take it as normal and sometimes even touch or mess with me.  I love to feel feminine and beautiful, and when people notice that fact, it's really positive, validating, and flattering to me."
12/10/2023 8:05:16,Yes,I agree,Transgender Man,4,Yes,3,"Cisgender Men, Transgender Men",2,6,6,3,3,1,2,5,5,7,2,1,6,4,4,3,5,5,5,1,6,2,1,2,3,3,1,1,
12/10/2023 10:52:39,Yes,I agree,Non-Binary (Assigned Male at Birth),3,Yes,4,"Cisgender Men, Cisgender Women, Transgender Women, Non-Binary (Assigned Female at Birth)",1,1,2,2,2,3,1,1,3,6,2,1,5,3,1,2,4,2,1,6,6,1,2,1,2,1,2,1,
12/11/2023 0:22:27,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2023 6:59:27,Yes,I agree,Non-Binary (Assigned Female at Birth),6,No,7,"Transgender Men, Non-Binary (Assigned Male at Birth)",4,5,3,2,2,2,4,2,1,1,1,1,1,1,1,1,1,1,4,1,2,4,5,4,4,4,2,5,
12/11/2023 7:02:26,Yes,I agree,Non-Binary (Assigned Female at Birth),,No,5,None,1,3,4,1,2,4,1,1,1,3,1,2,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,
12/11/2023 7:10:20,Yes,I agree,Non-Binary (Assigned Female at Birth),,Yes,3,"Cisgender Men, Transgender Women",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,2,2,1,1,2,1,1,i find percieving my own body to detract from fantasy and physical encounters
12/11/2023 9:01:41,Yes,I agree,Cisgender Woman,6,No,6,Cisgender Men,2,1,5,1,1,5,1,1,6,2,1,1,2,5,1,4,5,5,2,2,5,2,4,4,4,3,4,4,"I feel sexier when I picture myself with more attractive features, and I know that this so because of the way women are portrayed in media. "
